Average Returns,Iteration
-1503.6600341796875,0
-2012.5101318359375,5
-1858.4725341796875,10
-1927.1712646484375,15
-1843.7130126953125,20
-1832.01171875,25
-1746.873291015625,30
-1921.218994140625,35
-1628.712890625,40
-1737.7984619140625,45
-1659.2059326171875,50
-1901.8853759765625,55
-1937.552490234375,60
-1897.104736328125,65
-1890.1063232421875,70
-1560.983642578125,75
-1814.7474365234375,80
-1837.9595947265625,85
-1750.22119140625,90
-1859.184326171875,95
-1728.1119384765625,100
-1926.64892578125,105
-1705.2598876953125,110
-2025.4437255859375,115
-1937.8824462890625,120
-1925.66015625,125
-1904.094970703125,130
-1735.0660400390625,135
-1832.97119140625,140
-1842.4525146484375,145
