Iteration,Average Returns
0,-1541.26171875
5,-2101.0087890625
10,-1869.01904296875
15,-1859.8233642578125
20,-1676.4296875
25,-1930.64453125
30,-1834.66357421875
35,-1669.333251953125
40,-1871.4356689453125
45,-1861.483642578125
50,-1874.670166015625
55,-1722.6353759765625
60,-1982.9730224609375
65,-2099.47216796875
70,-1790.15869140625
75,-2106.73193359375
80,-1138.541259765625
85,-1865.6392822265625
90,-1858.521728515625
95,-1853.8880615234375
100,-2023.5533447265625
105,-1853.085205078125
110,-1900.9671630859375
115,-1884.28564453125
120,-2108.01171875
125,-1741.7890625
130,-1930.5947265625
135,-1960.3646240234375
140,-2074.99072265625
145,-1816.5919189453125
