Iteration,Average Returns
0,-1086.2625732421875
5,-1064.36767578125
10,-1110.738037109375
15,-1110.738037109375
20,-1110.738037109375
25,-1163.0400390625
30,-493.2122802734375
35,-273.1242980957031
40,-265.5205993652344
45,-217.83583068847656
50,-201.45123291015625
55,-191.46966552734375
60,-177.76966857910156
65,-164.87135314941406
70,-157.045166015625
75,-157.045166015625
80,-150.3477020263672
85,-150.3477020263672
90,-146.8072052001953
95,-146.8072052001953
100,-146.8072052001953
105,-146.8072052001953
110,-140.51968383789062
115,-140.51968383789062
120,-140.51968383789062
125,-140.51968383789062
130,-140.51968383789062
135,-140.51968383789062
140,-135.2882537841797
145,-135.2882537841797
