Average Returns,Iteration
-1629.577903794294,0
-601.1675901401901,5
-605.3119386786633,10
-681.0598423611892,15
-827.3216422516731,20
-868.4586296678168,25
-995.6456098620099,30
-1000.9029196496581,35
-1080.2898048746013,40
-1049.081373027698,45
-1068.7767887879133,50
-1143.2999989715213,55
-1115.679159644795,60
-1138.1435686231505,65
-1149.3366622467543,70
-1123.2537437853573,75
-1179.993406707308,80
-1171.331901037421,85
-1158.5926679463073,90
-1160.4771216642016,95
-1183.5907245778255,100
-1205.1762935954644,105
-1201.3947240508692,110
-1179.362934549347,115
-1174.4609516551293,120
-1186.5170636632495,125
-1176.0716503199765,130
-1262.0571533556677,135
-1203.514925179646,140
-1191.2690397001984,145
