Iteration,Average Returns
0,-1183.3167724609375
5,-466.75787353515625
10,-452.248291015625
15,-144.1388397216797
20,-148.9638214111328
25,-131.39715576171875
30,-163.52474975585938
35,-185.48219299316406
40,-154.23744201660156
45,-167.04725646972656
50,-158.9932403564453
55,-185.72344970703125
60,-166.24571228027344
65,-217.92059326171875
70,-161.99917602539062
75,-204.30374145507812
80,-236.45884704589844
85,-151.06915283203125
90,-197.75592041015625
95,-198.5358428955078
100,-182.3708038330078
105,-174.017333984375
110,-154.0111083984375
115,-187.34825134277344
120,-154.50106811523438
125,-178.9189910888672
130,-163.55311584472656
135,-139.14596557617188
140,-193.9720916748047
145,-142.2526092529297
