Average Returns,Iteration
-1091.1176999012564,0
-1216.4865353026576,5
-1217.8831041396786,10
-1279.586002194277,15
-1202.4951897786052,20
-1366.0742264014111,25
-1359.1765175159028,30
-1322.7447006174123,35
-1812.179098353617,40
-1526.4566029983375,45
-1861.9089452278977,50
-1713.1451172240859,55
-1534.2067633493893,60
-1443.257594644681,65
-1224.8582903286779,70
-1318.9272935684612,75
-1421.570887957856,80
-1451.1932639880138,85
-1398.757628962932,90
-1426.100725464585,95
-1302.7645490193775,100
-1478.8727692045231,105
-1498.8134307638277,110
-1557.3558575522698,115
-1448.7440520377966,120
-1534.6826675738316,125
-1518.4501417369506,130
-1380.40897156336,135
-1238.5210386102267,140
-1517.149994366977,145
