Iteration,Average Returns
0,-1167.060145508222
5,-766.075848155905
10,-1427.850035028193
15,-1307.6401470512767
20,-1537.4545494329827
25,-1331.2888190256788
30,-1394.827138655785
35,-1588.7660388096365
40,-1804.4973474705312
45,-1143.3076894725964
50,-1419.6817373992408
55,-1389.9319505673475
60,-1460.160068449347
65,-1511.1116542977127
70,-1196.213969753328
75,-1645.5702743686613
80,-1769.871390190397
85,-1622.0853932400594
90,-1570.4273468687195
95,-1579.406074119865
100,-1417.5317258554703
105,-1143.980874590965
110,-1592.8657340978123
115,-1130.2407752649076
120,-1366.1955379768146
125,-1513.7164170342237
130,-1197.2800805597196
135,-1488.8603154229252
140,-1514.7019382290746
145,-1395.0034765053801
