Average Returns,Iteration
-1064.553828831761,0
-1093.7018027755007,5
-1077.7266824344017,10
-1063.442136314427,15
-1080.5673250251698,20
-1091.885179147147,25
-1088.7047081369728,30
-1092.5677642257115,35
-1097.8788155539437,40
-1103.9325965811472,45
-1114.0529789206926,50
-1085.3465331934622,55
-1091.808823732346,60
-1109.7080149661974,65
-1132.882294767059,70
-1157.004774314697,75
-1172.2185773185918,80
-1172.4699415364296,85
-1245.1631765153163,90
-1226.290203275112,95
-1245.182348446147,100
-1303.526961460275,105
-1331.7941238949775,110
-1328.1192634855936,115
-1388.0015235118055,120
-1317.0631658092752,125
-1340.362290064148,130
-1380.5243814699147,135
-1487.63050247886,140
-1492.3104991789817,145
-1448.5848915570887,150
-1620.0554048424183,155
-1660.6629813538837,160
-1594.36711786861,165
-1718.3219589602952,170
-1732.718983672501,175
-1851.6763601582413,180
-1765.777770187721,185
-1761.1048170080815,190
-1758.2537942666397,195
-1803.9125605678873,200
-1718.150830860246,205
-1713.7531564698872,210
-1825.454913917199,215
-1792.422946245817,220
-1815.9283808344956,225
-1741.6496767591605,230
-1777.8300394213863,235
-1780.3107052870137,240
-1747.496754035451,245
-1787.9231545547705,249
