Iteration,Average Returns
0,-1074.944337499331
10,-1063.2532591615368
20,-1106.6725338079057
30,-1306.8537057019523
40,-1738.4102806362876
50,-1740.029463822751
60,-1714.7530544900985
70,-1758.6313298516766
80,-1705.2093603713718
90,-1770.0860785893158
100,-1748.4661329229898
110,-1737.0567691447309
120,-1802.065089633807
130,-1828.5614004131396
140,-1775.2306142152834
150,-1778.4401684451389
160,-1777.7517051864302
170,-1687.7095420052049
180,-1684.5782632045907
190,-1683.5622667814596
200,-1665.815205423015
210,-1734.8807436437926
220,-1185.6078824353808
230,-1179.4216465197915
240,-1161.4712583219978
249,-1683.5355654374086
