Iteration,Average Returns
0,-1092.2915620815575
10,-1341.6293433757585
20,-1635.4327017642975
30,-1851.4865221836662
40,-1349.7090605068179
50,-1446.5046174316244
60,-1278.4319208830761
70,-2074.277924219964
80,-1220.2058210474986
90,-2479.571379938724
100,-2529.312491037437
110,-2117.479503809956
120,-1788.9268491052017
130,-2109.325528589484
140,-1891.9346938286592
150,-2886.7650309988308
160,-2745.0708670285653
170,-1365.3073909491552
180,-1814.7148370733094
190,-2633.803019535498
200,-1955.3581007221142
210,-2443.832175948228
220,-1966.5388929551746
230,-2136.5019239293715
240,-2642.452141776862
249,-2673.205652072706
